temp,logg,feh,alpha,band,resolution,vsini,sampling,correctflag,quality,cond1,cond2,cond3
3900,4.5,0.0,0.0,Z,60k,1.0,3.0,0,3877,9.4,15.3,9.7
3900,4.5,0.0,0.0,Z,60k,5.0,3.0,0,2805,13.0,21.0,13.4
3900,4.5,0.0,0.0,Z,60k,10.0,3.0,0,1680,21.8,35.1,22.4
3900,4.5,0.0,0.0,J,60k,1.0,3.0,0,2113,16.2,45.6,17.1
3900,4.5,0.0,0.0,J,60k,5.0,3.0,0,1568,21.8,65.6,23.1
3900,4.5,0.0,0.0,J,60k,10.0,3.0,0,967,35.4,122.3,37.7
3900,4.5,0.0,0.0,H,60k,1.0,3.0,0,4155,7.6,11.9,7.8
3900,4.5,0.0,0.0,H,60k,5.0,3.0,0,2956,10.8,16.8,11.0
3900,4.5,0.0,0.0,H,60k,10.0,3.0,0,1693,18.8,29.4,19.2
3900,4.5,0.0,0.0,K,60k,1.0,3.0,0,3511,13.7,63.2,14.6
3900,4.5,0.0,0.0,K,60k,5.0,3.0,0,2473,19.4,85.4,20.8
3900,4.5,0.0,0.0,K,60k,10.0,3.0,0,1407,34.2,142.8,36.6
3900,4.5,0.0,0.0,Y,60k,1.0,3.0,0,3117,12.5,15.0,12.7
3900,4.5,0.0,0.0,Y,60k,5.0,3.0,0,2099,18.6,22.3,18.9
3900,4.5,0.0,0.0,Y,60k,10.0,3.0,0,1128,34.8,41.6,35.2
3900,4.5,0.0,0.0,Z,80k,1.0,3.0,0,4787,6.6,10.7,6.8
3900,4.5,0.0,0.0,Z,80k,5.0,3.0,0,3113,10.1,16.4,10.5
3900,4.5,0.0,0.0,Z,80k,10.0,3.0,0,1750,18.1,29.2,18.7
3900,4.5,0.0,0.0,J,80k,1.0,3.0,0,2560,11.5,31.4,12.2
3900,4.5,0.0,0.0,J,80k,5.0,3.0,0,1729,17.1,50.2,18.2
3900,4.5,0.0,0.0,J,80k,10.0,3.0,0,1005,29.5,100.5,31.4
3900,4.5,0.0,0.0,H,80k,1.0,3.0,0,5124,5.4,8.4,5.5
3900,4.5,0.0,0.0,H,80k,5.0,3.0,0,3305,8.3,13.1,8.5
3900,4.5,0.0,0.0,H,80k,10.0,3.0,0,1770,15.6,24.4,16.0
3900,4.5,0.0,0.0,K,80k,1.0,3.0,0,4339,9.6,45.2,10.3
3900,4.5,0.0,0.0,K,80k,5.0,3.0,0,2775,15.0,67.0,16.1
3900,4.5,0.0,0.0,K,80k,10.0,3.0,0,1469,28.4,118.5,30.4
3900,4.5,0.0,0.0,Y,80k,1.0,3.0,0,4061,8.3,10.0,8.4
3900,4.5,0.0,0.0,Y,80k,5.0,3.0,0,2377,14.3,17.0,14.4
3900,4.5,0.0,0.0,Y,80k,10.0,3.0,0,1186,28.6,34.3,29.0
3900,4.5,0.0,0.0,Z,100k,1.0,3.0,0,5459,5.2,8.5,5.3
3900,4.5,0.0,0.0,Z,100k,5.0,3.0,0,3287,8.6,13.9,8.9
3900,4.5,0.0,0.0,Z,100k,10.0,3.0,0,1786,15.9,25.6,16.3
3900,4.5,0.0,0.0,J,100k,1.0,3.0,0,2880,9.2,24.4,9.7
3900,4.5,0.0,0.0,J,100k,5.0,3.0,0,1819,14.6,42.1,15.4
3900,4.5,0.0,0.0,J,100k,10.0,3.0,0,1024,25.9,87.5,27.6
3900,4.5,0.0,0.0,H,100k,1.0,3.0,0,5791,4.2,6.6,4.3
3900,4.5,0.0,0.0,H,100k,5.0,3.0,0,3502,7.0,11.0,7.2
3900,4.5,0.0,0.0,H,100k,10.0,3.0,0,1810,13.6,21.3,14.0
3900,4.5,0.0,0.0,K,100k,1.0,3.0,0,4903,7.6,36.1,8.1
3900,4.5,0.0,0.0,K,100k,5.0,3.0,0,2947,12.6,56.9,13.5
3900,4.5,0.0,0.0,K,100k,10.0,3.0,0,1502,24.8,104.0,26.6
3900,4.5,0.0,0.0,Y,100k,1.0,3.0,0,4818,6.3,7.5,6.3
3900,4.5,0.0,0.0,Y,100k,5.0,3.0,0,2537,11.9,14.3,12.1
3900,4.5,0.0,0.0,Y,100k,10.0,3.0,0,1218,24.9,29.9,25.2
3500,4.5,0.0,0.0,Z,60k,1.0,3.0,0,4627,8.4,14.0,8.6
3500,4.5,0.0,0.0,Z,60k,5.0,3.0,0,3154,12.3,20.1,12.7
3500,4.5,0.0,0.0,Z,60k,10.0,3.0,0,1777,21.9,35.1,22.5
3500,4.5,0.0,0.0,J,60k,1.0,3.0,0,2035,16.7,47.9,17.8
3500,4.5,0.0,0.0,J,60k,5.0,3.0,0,1492,22.9,69.2,24.4
3500,4.5,0.0,0.0,J,60k,10.0,3.0,0,904,37.9,129.4,40.5
3500,4.5,0.0,0.0,H,60k,1.0,3.0,0,4240,7.7,12.4,7.9
3500,4.5,0.0,0.0,H,60k,5.0,3.0,0,3008,10.9,17.5,11.2
3500,4.5,0.0,0.0,H,60k,10.0,3.0,0,1684,19.5,31.4,20.0
3500,4.5,0.0,0.0,K,60k,1.0,3.0,0,3951,12.1,43.8,13.0
3500,4.5,0.0,0.0,K,60k,5.0,3.0,0,2733,17.6,62.6,18.8
3500,4.5,0.0,0.0,K,60k,10.0,3.0,0,1517,31.8,109.6,34.0
3500,4.5,0.0,0.0,Y,60k,1.0,3.0,0,3516,11.3,13.3,11.4
3500,4.5,0.0,0.0,Y,60k,5.0,3.0,0,2321,17.1,20.2,17.3
3500,4.5,0.0,0.0,Y,60k,10.0,3.0,0,1226,32.4,38.4,32.8
3500,4.5,0.0,0.0,Z,80k,1.0,3.0,0,6014,5.6,9.4,5.7
3500,4.5,0.0,0.0,Z,80k,5.0,3.0,0,3553,9.4,15.5,9.7
3500,4.5,0.0,0.0,Z,80k,10.0,3.0,0,1862,18.1,29.1,18.6
3500,4.5,0.0,0.0,J,80k,1.0,3.0,0,2492,11.8,32.6,12.5
3500,4.5,0.0,0.0,J,80k,5.0,3.0,0,1650,17.9,52.9,19.0
3500,4.5,0.0,0.0,J,80k,10.0,3.0,0,940,31.5,106.4,33.7
3500,4.5,0.0,0.0,H,80k,1.0,3.0,0,5225,5.4,8.8,5.5
3500,4.5,0.0,0.0,H,80k,5.0,3.0,0,3370,8.4,13.5,8.6
3500,4.5,0.0,0.0,H,80k,10.0,3.0,0,1765,16.1,26.0,16.6
3500,4.5,0.0,0.0,K,80k,1.0,3.0,0,4964,8.4,30.1,8.9
3500,4.5,0.0,0.0,K,80k,5.0,3.0,0,3081,13.5,48.4,14.4
3500,4.5,0.0,0.0,K,80k,10.0,3.0,0,1588,26.3,90.7,28.1
3500,4.5,0.0,0.0,Y,80k,1.0,3.0,0,4653,7.4,8.7,7.4
3500,4.5,0.0,0.0,Y,80k,5.0,3.0,0,2641,13.0,15.3,13.1
3500,4.5,0.0,0.0,Y,80k,10.0,3.0,0,1292,26.7,31.5,27.0
3500,4.5,0.0,0.0,Z,100k,1.0,3.0,0,7147,4.2,7.1,4.3
3500,4.5,0.0,0.0,Z,100k,5.0,3.0,0,3785,7.9,13.0,8.2
3500,4.5,0.0,0.0,Z,100k,10.0,3.0,0,1908,15.8,25.4,16.3
3500,4.5,0.0,0.0,J,100k,1.0,3.0,0,2829,9.3,25.1,9.9
3500,4.5,0.0,0.0,J,100k,5.0,3.0,0,1740,15.2,44.4,16.2
3500,4.5,0.0,0.0,J,100k,10.0,3.0,0,959,27.6,92.6,29.5
3500,4.5,0.0,0.0,H,100k,1.0,3.0,0,5905,4.3,6.9,4.4
3500,4.5,0.0,0.0,H,100k,5.0,3.0,0,3575,7.1,11.4,7.3
3500,4.5,0.0,0.0,H,100k,10.0,3.0,0,1807,14.1,22.7,14.5
3500,4.5,0.0,0.0,K,100k,1.0,3.0,0,5687,6.5,23.3,7.0
3500,4.5,0.0,0.0,K,100k,5.0,3.0,0,3280,11.4,40.8,12.1
3500,4.5,0.0,0.0,K,100k,10.0,3.0,0,1626,23.0,79.3,24.6
3500,4.5,0.0,0.0,Y,100k,1.0,3.0,0,5581,5.5,6.5,5.5
3500,4.5,0.0,0.0,Y,100k,5.0,3.0,0,2827,10.9,12.8,11.0
3500,4.5,0.0,0.0,Y,100k,10.0,3.0,0,1328,23.2,27.4,23.5
2800,4.5,0.0,0.0,Z,60k,1.0,3.0,0,12366,4.0,7.6,4.2
2800,4.5,0.0,0.0,Z,60k,5.0,3.0,0,7846,6.3,11.7,6.6
2800,4.5,0.0,0.0,Z,60k,10.0,3.0,0,3960,12.6,22.8,13.0
2800,4.5,0.0,0.0,J,60k,1.0,3.0,0,3120,11.0,31.7,11.8
2800,4.5,0.0,0.0,J,60k,5.0,3.0,0,2200,15.6,45.3,16.7
2800,4.5,0.0,0.0,J,60k,10.0,3.0,0,1290,26.7,78.5,28.5
2800,4.5,0.0,0.0,H,60k,1.0,3.0,0,6089,5.7,11.1,5.9
2800,4.5,0.0,0.0,H,60k,5.0,3.0,0,4145,8.4,16.4,8.7
2800,4.5,0.0,0.0,H,60k,10.0,3.0,0,2240,15.6,31.0,16.2
2800,4.5,0.0,0.0,K,60k,1.0,3.0,0,6878,7.1,22.9,7.5
2800,4.5,0.0,0.0,K,60k,5.0,3.0,0,4697,10.3,33.3,11.0
2800,4.5,0.0,0.0,K,60k,10.0,3.0,0,2547,19.1,59.6,20.4
2800,4.5,0.0,0.0,Y,60k,1.0,3.0,0,3541,11.7,14.0,11.9
2800,4.5,0.0,0.0,Y,60k,5.0,3.0,0,2345,17.7,21.3,17.9
2800,4.5,0.0,0.0,Y,60k,10.0,3.0,0,1277,32.5,39.0,32.9
2800,4.5,0.0,0.0,Z,80k,1.0,3.0,0,16817,2.6,4.8,2.7
2800,4.5,0.0,0.0,Z,80k,5.0,3.0,0,9029,4.8,8.8,4.9
2800,4.5,0.0,0.0,Z,80k,10.0,3.0,0,4201,10.3,18.6,10.6
2800,4.5,0.0,0.0,J,80k,1.0,3.0,0,3949,7.6,21.5,8.1
2800,4.5,0.0,0.0,J,80k,5.0,3.0,0,2457,12.1,35.1,13.0
2800,4.5,0.0,0.0,J,80k,10.0,3.0,0,1346,22.2,65.1,23.7
2800,4.5,0.0,0.0,H,80k,1.0,3.0,0,7795,3.9,7.5,4.0
2800,4.5,0.0,0.0,H,80k,5.0,3.0,0,4687,6.5,12.6,6.7
2800,4.5,0.0,0.0,H,80k,10.0,3.0,0,2358,12.9,25.5,13.3
2800,4.5,0.0,0.0,K,80k,1.0,3.0,0,8741,4.8,15.6,5.1
2800,4.5,0.0,0.0,K,80k,5.0,3.0,0,5312,7.9,25.6,8.4
2800,4.5,0.0,0.0,K,80k,10.0,3.0,0,2674,15.8,49.3,16.8
2800,4.5,0.0,0.0,Y,80k,1.0,3.0,0,4725,7.6,9.1,7.7
2800,4.5,0.0,0.0,Y,80k,5.0,3.0,0,2661,13.5,16.2,13.7
2800,4.5,0.0,0.0,Y,80k,10.0,3.0,0,1344,26.8,32.1,27.1
2800,4.5,0.0,0.0,Z,100k,1.0,3.0,0,20599,1.9,3.5,1.9
2800,4.5,0.0,0.0,Z,100k,5.0,3.0,0,9728,4.0,7.3,4.1
2800,4.5,0.0,0.0,Z,100k,10.0,3.0,0,4338,8.9,16.2,9.2
2800,4.5,0.0,0.0,J,100k,1.0,3.0,0,4598,5.8,16.3,6.2
2800,4.5,0.0,0.0,J,100k,5.0,3.0,0,2604,10.2,29.6,10.9
2800,4.5,0.0,0.0,J,100k,10.0,3.0,0,1375,19.4,57.0,20.7
2800,4.5,0.0,0.0,H,100k,1.0,3.0,0,9078,3.0,5.8,3.1
2800,4.5,0.0,0.0,H,100k,5.0,3.0,0,4999,5.4,10.5,5.6
2800,4.5,0.0,0.0,H,100k,10.0,3.0,0,2421,11.2,22.2,11.6
2800,4.5,0.0,0.0,K,100k,1.0,3.0,0,10108,3.7,12.0,4.0
2800,4.5,0.0,0.0,K,100k,5.0,3.0,0,5664,6.6,21.5,7.1
2800,4.5,0.0,0.0,K,100k,10.0,3.0,0,2742,13.8,43.0,14.7
2800,4.5,0.0,0.0,Y,100k,1.0,3.0,0,5731,5.6,6.7,5.7
2800,4.5,0.0,0.0,Y,100k,5.0,3.0,0,2847,11.3,13.6,11.4
2800,4.5,0.0,0.0,Y,100k,10.0,3.0,0,1380,23.3,28.0,23.6
2600,4.5,0.0,0.0,Z,60k,1.0,3.0,0,16683,3.4,6.5,3.6
2600,4.5,0.0,0.0,Z,60k,5.0,3.0,0,10627,5.4,10.0,5.6
2600,4.5,0.0,0.0,Z,60k,10.0,3.0,0,5370,10.6,19.6,11.0
2600,4.5,0.0,0.0,J,60k,1.0,3.0,0,4291,8.1,24.0,8.6
2600,4.5,0.0,0.0,J,60k,5.0,3.0,0,2949,11.7,35.0,12.5
2600,4.5,0.0,0.0,J,60k,10.0,3.0,0,1666,20.8,60.7,22.2
2600,4.5,0.0,0.0,H,60k,1.0,3.0,0,7683,4.6,9.1,4.8
2600,4.5,0.0,0.0,H,60k,5.0,3.0,0,5228,6.8,13.5,7.0
2600,4.5,0.0,0.0,H,60k,10.0,3.0,0,2833,12.6,25.5,13.0
2600,4.5,0.0,0.0,K,60k,1.0,3.0,0,8499,5.7,18.8,6.1
2600,4.5,0.0,0.0,K,60k,5.0,3.0,0,5850,8.3,27.2,8.9
2600,4.5,0.0,0.0,K,60k,10.0,3.0,0,3209,15.2,48.5,16.2
2600,4.5,0.0,0.0,Y,60k,1.0,3.0,0,5551,7.7,9.2,7.8
2600,4.5,0.0,0.0,Y,60k,5.0,3.0,0,3630,11.7,14.2,11.9
2600,4.5,0.0,0.0,Y,60k,10.0,3.0,0,1944,22.0,26.3,22.2
2600,4.5,0.0,0.0,Z,80k,1.0,3.0,0,22614,2.2,4.2,2.3
2600,4.5,0.0,0.0,Z,80k,5.0,3.0,0,12222,4.0,7.6,4.2
2600,4.5,0.0,0.0,Z,80k,10.0,3.0,0,5700,8.7,16.0,9.0
2600,4.5,0.0,0.0,J,80k,1.0,3.0,0,5512,5.4,16.0,5.8
2600,4.5,0.0,0.0,J,80k,5.0,3.0,0,3319,9.0,26.9,9.6
2600,4.5,0.0,0.0,J,80k,10.0,3.0,0,1744,17.2,50.4,18.3
2600,4.5,0.0,0.0,H,80k,1.0,3.0,0,9841,3.1,6.2,3.2
2600,4.5,0.0,0.0,H,80k,5.0,3.0,0,5912,5.2,10.3,5.4
2600,4.5,0.0,0.0,H,80k,10.0,3.0,0,2980,10.3,21.0,10.7
2600,4.5,0.0,0.0,K,80k,1.0,3.0,0,10756,3.9,12.9,4.2
2600,4.5,0.0,0.0,K,80k,5.0,3.0,0,6601,6.4,20.9,6.8
2600,4.5,0.0,0.0,K,80k,10.0,3.0,0,3365,12.5,40.1,13.4
2600,4.5,0.0,0.0,Y,80k,1.0,3.0,0,7465,5.0,5.9,5.0
2600,4.5,0.0,0.0,Y,80k,5.0,3.0,0,4133,8.9,10.8,9.0
2600,4.5,0.0,0.0,Y,80k,10.0,3.0,0,2049,18.0,21.6,18.3
2600,4.5,0.0,0.0,Z,100k,1.0,3.0,0,27631,1.6,3.0,1.7
2600,4.5,0.0,0.0,Z,100k,5.0,3.0,0,13164,3.4,6.3,3.5
2600,4.5,0.0,0.0,Z,100k,10.0,3.0,0,5887,7.5,13.9,7.8
2600,4.5,0.0,0.0,J,100k,1.0,3.0,0,6472,4.1,12.0,4.4
2600,4.5,0.0,0.0,J,100k,5.0,3.0,0,3532,7.6,22.6,8.1
2600,4.5,0.0,0.0,J,100k,10.0,3.0,0,1786,15.0,44.1,16.0
2600,4.5,0.0,0.0,H,100k,1.0,3.0,0,11468,2.4,4.7,2.5
2600,4.5,0.0,0.0,H,100k,5.0,3.0,0,6304,4.4,8.6,4.5
2600,4.5,0.0,0.0,H,100k,10.0,3.0,0,3059,9.0,18.3,9.4
2600,4.5,0.0,0.0,K,100k,1.0,3.0,0,12409,3.0,9.9,3.2
2600,4.5,0.0,0.0,K,100k,5.0,3.0,0,7029,5.3,17.6,5.7
2600,4.5,0.0,0.0,K,100k,10.0,3.0,0,3447,10.9,35.0,11.7
2600,4.5,0.0,0.0,Y,100k,1.0,3.0,0,9099,3.6,4.4,3.7
2600,4.5,0.0,0.0,Y,100k,5.0,3.0,0,4429,7.4,9.0,7.5
2600,4.5,0.0,0.0,Y,100k,10.0,3.0,0,2108,15.7,18.8,15.9
